classification,trades,avg_pnl,median_pnl,win_rate,avg_leverage,avg_size_tokens,total_volume_usd
Extreme Fear,4792,80.16716491464942,0.0,0.373330550918197,,1139.8657395885225,23207847.66
Extreme Greed,34374,70.91316288453483,0.0,0.4566532844591843,,5803.992189879919,111746632.32
Fear,47748,53.928798383785704,0.0,0.4157870486721957,,2890.202243853888,347681502.48
Greed,47468,44.609616468020555,0.0,0.4229375579337659,,6486.372570596347,257093113.74
Neutral,35501,29.119924197628237,0.0,0.36139827047125433,,5924.439341888006,175528856.17
Unknown,41341,42.30475458985027,0.0,0.4021189618054716,,2790.8601418031385,275929490.09
